Category of Data,Table,Column,ct_name,code_iaids,meaning,Data Type eADMS,Length eADMS,short_desc,Question_Def,Code meaning,typeofchange,Change_notes
Pre eADMS coding,Occurrences,Occurrence_Code,,310,On ground/water collision with object,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,320,On ground/water collision with terrain/water,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,330,On ground/water encounter with weather,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,340,Overrun,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,350,Loss of engine power,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,351,Loss of engine power (total) - mechanical failure/malfunction,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,352,Loss of engine power (partial) - mechanical failure/malfunction,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,353,Loss of engine power (total) - nonmechanical,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,354,Loss of engine power (partial) - nonmechanical,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,355,Engine tearaway,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,360,Propeller blast or jet exhaust/suction,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,370,Propeller/rotor contact to person,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,380,Roll over,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,390,Undershoot,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,400,Undetermined,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,410,Vortex turbulence encountered,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,420,Missing aircraft,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,430,Miscellaneous/other,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
